campus,codes,building,street_address,city_state,mapping_status,printer_count,notes,sources
AR,"AR-FH, AR-FHB, AR-FHLIB",Van Metre Hall,3351 Fairfax Drive,"Arlington, VA",Corroborated,12,Formerly Founders Hall; FHB is the basement variant and FHLIB is the Mason Square Library in this building. Public printer rooms 211A and 702 corroborate the match.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
AR,AR-FSB,Fuse at Mason Square,3401 Fairfax Drive,"Arlington, VA",Confirmed,7,Printer code confirmed by the user on 19 September 2026; physical address from the GMU building address directory.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://masonsquare.gmu.edu/fuse
AR,"AR-HH, AR-HHB, AR-LAWLIB",Hazel Hall,3301 Fairfax Drive,"Arlington, VA",Corroborated,11,LAWLIB printers are inside Hazel Hall. HHB is interpreted as the Hazel basement variant; the exact HHB-FLD room is not independently verified.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
AR,AR-VSH,Vernon Smith Hall,3434 Washington Boulevard,"Arlington, VA",Corroborated,4,Printer room 5023 also appears in the university replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-4260CBR,University Park,4260 Chain Bridge Road,"Fairfax, VA",Corroborated,2,"The street number is part of the building label, not a floor. Replacement schedule identifies room A501B at this address.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-9900MS,9900 Main Street building,9900 Main Street,"Fairfax, VA",Corroborated,1,"Off-campus Fairfax offices; the station is on floor 4, room 423. This is not Van Metre Hall in Arlington.",https://psychology.gmu.edu/services; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,"FX-AB, FX-ABL",Art and Design Building,4515 Patriot Circle,"Fairfax, VA",Corroborated,7,ABL is the lower-level variant. The university lists printers in the lower-level lobby and rooms matching AB stations.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-ACT,Activities Building,4530 Global Lane,"Fairfax, VA",Confirmed,1,Printer code confirmed by the user on 19 September 2026; physical address from the GMU building address directory.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-AFC,Aquatic and Fitness Center,4520 Patriot Circle,"Fairfax, VA",Corroborated,1,Room 105 matches the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-AQ,Aquia Building,4461 Aquia Creek Lane,"Fairfax, VA",Corroborated,6,Registrar code AQ; replacement schedule also lists Aquia printers.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,"FX-BH, FX-MH, FX-MHG",James Buchanan Hall,4379 Mason Pond Drive,"Fairfax, VA",Corroborated,8,MH retains the former name Mason Hall; MHG is the ground-floor variant. BH room D205 and MH rooms D150/D170 match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://chss.gmu.edu/articles/10870; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-BL,Blue Ridge Hall,4343A Chesapeake River Way,"Fairfax, VA",Corroborated,1,Registrar code BL and a public first-floor hallway printer.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-CAROW,Carow Hall,4460 Rockfish Creek Lane,"Fairfax, VA",Corroborated,1,Room 5 matches the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-CDC,Child Development Center,4402 University Drive,"Fairfax, VA",Corroborated,1,Room 142 matches the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-CFA,Center for the Arts,4373 Mason Pond Drive,"Fairfax, VA",Corroborated,2,Box office and production-office printers match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-CH,College Hall,4379 Mason Pond Drive,"Fairfax, VA",Corroborated,3,"Rooms C113, C200 and C211 match the replacement schedule. The address is shared with other buildings in the arts complex.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-CO,Commonwealth Hall,10408 Rivanna River Way,"Fairfax, VA",Corroborated,1,First-floor hallway printer matches the public directory; CO is interpreted from that context.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-DK,David J. King Hall,10428 Rivanna River Way,"Fairfax, VA",Corroborated,3,Registrar code DK; the address directory calls it David King Hall.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/
FX,FX-DO,Dominion Hall,10410 Rivanna River Way,"Fairfax, VA",Corroborated,1,First-floor hallway printer matches the public directory; DO is interpreted from that context.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-E,East Building,4405 Patriot Circle,"Fairfax, VA",Corroborated,1,Registrar code E.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/
FX,FX-EA,Eastern Shore Hall,4403 Patriot Circle,"Fairfax, VA",Corroborated,1,Room 1003 matches the public printer directory and replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-EBA,EagleBank Arena,4500 Patriot Circle,"Fairfax, VA",Corroborated,3,"Rooms 1088, 1091 and the box office match the replacement schedule.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-EI,Eisenhower Hall,10445 Presidents Park Drive,"Fairfax, VA",Corroborated,1,First-floor hall printer matches the public directory and replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-ENG,Long and Kimmy Nguyen Engineering Building,4511 Patriot Circle,"Fairfax, VA",Corroborated,15,ENG printer rooms and floors match the university Engineering schedule; the registrar uses ENGR.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,"FX-ENT, FX-ENTG",Enterprise Hall,10443 Sandy Creek Lane,"Fairfax, VA",Corroborated,6,ENT is the registrar code; ENTG is the ground-floor variant. Several rooms match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-EXPL,Exploratory Hall,10431 Rivanna River Way,"Fairfax, VA",Corroborated,9,Registrar code EXPL and matching replacement-schedule rooms.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-FARCH,Facilities Management Archives and Shops,10398 Rivanna River Way,"Fairfax, VA",Inferred,1,FARCH is interpreted as facilities archives; the building address is official but this printer-code match is not independently published.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-FCPT,Facilities (FCPT),,"Fairfax, VA",Unresolved,1,Station FX-FCPT1-114-4935. No reliable public expansion or exact building address found; do not assign the general Facilities address as fact.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-FH,Field House,4501 University Drive,"Fairfax, VA",Corroborated,3,"Rooms 101, 129 and 147 match the replacement schedule. AR-FH refers to a different building.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-FINLEY,Finley Building,4407 Patriot Circle,"Fairfax, VA",Corroborated,1,Registrar code FINLEY.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://registrar.gmu.edu/topics/building-codes/
FX,FX-FL,Fenwick Library,4348 Chesapeake River Way,"Fairfax, VA",Corroborated,11,FL room/floor combinations match the Fenwick replacement schedule. AR-FHLIB is a different library.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-FM,Facilities Maintenance Building,10400 Rivanna River Way,"Fairfax, VA",Inferred,2,"Likely the maintenance building, distinct from FMADMIN and FARCH. Exact mapping of rooms 005 and 024B needs Facilities confirmation.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-FMADMIN,Facilities Administration,10402 Rivanna River Way,"Fairfax, VA",Corroborated,2,The explicit code agrees with Facilities' published physical building address.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://facilities.gmu.edu/connect-with-us/
FX,FX-FMCHCP,Central Heating and Cooling Plant,10403 Rivanna River Way,"Fairfax, VA",Inferred,1,CHCP expands to the plant name; address is official. The station-prefix match is inferred.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/
FX,FX-FMHR,Facilities Human Resources,,"Fairfax, VA",Unresolved,1,Station FX-FMHR1-101-3930. Facilities HR is a unit; its presence does not establish which building houses this printer.,https://facilities.gmu.edu/connect-with-us/
FX,FX-FMW,Facilities Warehouse,10401 Rivanna River Way,"Fairfax, VA",Corroborated,1,Room 113 matches the Central Warehouse replacement-schedule entry.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-HA,Hampton Roads Hall,4401 Patriot Circle,"Fairfax, VA",Corroborated,1,Room 1001 matches Hampton Roads/Pilot House in the public printer directory.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-HOLL,Hanover Hall,10418 Rivanna River Way,"Fairfax, VA",Inferred,1,"Likely the Hanover lower-level printer: the public directory lists Hanover, LL, lobby. HOLL is not independently documented as an alias.",https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-HRZ,Horizon Hall,4475 Aquia Creek Lane,"Fairfax, VA",Corroborated,12,Room 3229 and other floors/rooms match the official printer lists.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-HUB,The Hub,10423 Rivanna River Way,"Fairfax, VA",Corroborated,8,The physical building address; the mail/package delivery address may differ.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
FX,FX-IN,Innovation Hall,4699 Mattaponi River Lane,"Fairfax, VA",Corroborated,2,Registrar code IN; room 301A and 423 match the replacement schedule.,https://ready.gmu.edu/fire-safety/addresses-assembly-areas/; https://printandmail.gmu.edu/locateprinters/; https://registrar.gmu.edu/topics/building-codes/; https://abs.gmu.edu/campus-printer-fleet-upgrade-underway/
